Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Swimming duration (ms),Paced walking duration (ms)
2023-04-13,82,1770.875864471709,6448.151760635929,67.0,67,,,,,,,,0.4939100194572143,1.5211799943499846,0.25581994729441565,8816,,,,,,5803286,,,,
2023-04-14,72,1717.4968777603806,4963.724423680682,44.0,44,,,,,,,,1.1166853357321755,1.4533911869638878,0.2669425536985207,6857,,,,,,4674275,,,,
2023-04-15,65,1757.4933360055443,5078.787663347189,50.0,50,,,,,,,,0.79816162001128,1.608769844637035,0.2780651601026257,6996,,,,,,5520234,,,,
2023-04-16,63,1794.2126168850186,4269.434975711347,42.0,41,,,,,,,,0.5360472765419794,1.6393328831770164,0.2470667996078651,6162,,,,,,4526129,,,,
2023-04-17,57,1901.0582168017747,3445.310541750386,20.0,20,,,,,,,,0.4380622500462976,1.5028989153471748,0.2669425536985207,5241,,,,,,8408908,63443,,,
2023-04-18,41,1682.9225286660223,3373.222103507801,31.0,27,,,,,,,,0.49266714580396664,2.6010152130749855,0.2686725794643842,4546,,,,,,3783243,68553,,,
2023-04-19,85,1771.7597065445739,6114.87298948304,59.0,57,,,,,,,,0.7246434562157467,2.0135481477098325,0.2669425536985207,8273,,,,,,5681920,60102,,,
2023-04-20,78,1766.0789751024054,5587.567846515527,49.0,49,,,,,,,,0.42029923959779797,2.145234589858409,0.3114329793149408,7683,,,,,,5701276,,,,
2023-04-21,48,1674.0948326923476,3801.426399240722,41.0,41,,,,,,,,0.5134096220045996,1.526084297613659,0.2780651601026257,5201,,,,,,3608409,63455,,,
2023-04-22,246,2094.9894567157157,18538.90222433273,173.0,171,,,,,,,,0.6149883077764643,2.64889950675934,0.24227042382956102,25193,,,,,,12362397,120195,,,
2023-04-23,111,1878.7061100488065,8697.423494935587,87.0,84,,,,,,,,0.4322869968114409,2.0764912065851946,0.25581994729441565,11955,,,,,,7943930,60101,,,
2023-04-24,50,1672.1409715662048,3994.1079093396565,41.0,41,,,,,,,,0.4624798188750767,1.5328804912910268,0.25581994729441565,5477,,,,,,3714958,,,,
